,ProblemID,accuracy,tp,tn,fp,fn,pcorrect,ppredicted,precision,recall,f1_score,pe,kappa
0,backwardsCombine,0.8095238095238095,0.8095238095238095,0.0,0.14285714285714285,0.047619047619047616,0.8571428571428571,0.9523809523809523,0.8500000000000001,0.9444444444444444,0.8947368421052632,0.8231292517006802,-0.07692307692307634
1,canDrinkAlcohol,0.25,0.1,0.15,0.35,0.4,0.5,0.45,0.22222222222222227,0.2,0.2105263157894737,0.5,-0.5
2,convertToDegrees,0.5102040816326531,0.061224489795918366,0.4489795918367347,0.14285714285714285,0.3469387755102041,0.40816326530612246,0.20408163265306123,0.3,0.15,0.2,0.5543523531861724,-0.0990654205607475
3,doubleX,0.9841269841269841,0.9841269841269841,0.0,0.015873015873015872,0.0,0.9841269841269841,1.0,0.9841269841269841,1.0,0.9919999999999999,0.9841269841269841,0.0
4,findRoot,0.5833333333333334,0.3055555555555556,0.2777777777777778,0.19444444444444445,0.2222222222222222,0.5277777777777778,0.5,0.6111111111111112,0.5789473684210527,0.5945945945945946,0.5,0.16666666666666674
5,firstAndLast,0.47058823529411764,0.35294117647058826,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.5294117647058824,0.7058823529411765,0.5,0.6666666666666667,0.5714285714285715,0.5121107266435986,-0.08510638297872333
6,hasTwoDigits,0.5185185185185185,0.18518518518518517,0.3333333333333333,0.2222222222222222,0.25925925925925924,0.4444444444444444,0.4074074074074074,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.5102880658436214,0.016806722689075553
7,helloWorld,0.639344262295082,0.4262295081967213,0.21311475409836064,0.16393442622950818,0.19672131147540983,0.6229508196721312,0.5901639344262295,0.7222222222222222,0.6842105263157894,0.7027027027027026,0.5221714592851384,0.24521934758155237
8,howManyEggCartons,0.75,0.05555555555555555,0.6944444444444444,0.027777777777777776,0.2222222222222222,0.2777777777777778,0.08333333333333333,0.6666666666666666,0.19999999999999998,0.30769230769230765,0.6851851851851851,0.20588235294117663
9,intToFloat,0.8636363636363636,0.8636363636363636,0.0,0.09090909090909091,0.045454545454545456,0.9090909090909091,0.9545454545454546,0.9047619047619048,0.9500000000000001,0.926829268292683,0.871900826446281,-0.06451612903225784
10,isEvenPositiveInt,0.5,0.0,0.5,0.21428571428571427,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.0,0.0,,0.6224489795918366,-0.324324324324324
11,isPunctuation,0.8235294117647058,0.0,0.8235294117647058,0.0,0.17647058823529413,0.17647058823529413,0.0,,0.0,,0.8235294117647058,0.0
12,kthDigit,0.8,0.03333333333333333,0.7666666666666667,0.03333333333333333,0.16666666666666666,0.2,0.06666666666666667,0.5,0.16666666666666669,0.25,0.76,0.16666666666666682
13,leftoverCandy,0.813953488372093,0.7906976744186046,0.023255813953488372,0.16279069767441862,0.023255813953488372,0.813953488372093,0.9534883720930233,0.8292682926829269,0.9714285714285714,0.8947368421052633,0.7847485127095728,0.13567839195979878
14,nearestBusStop,0.72,0.0,0.72,0.08,0.2,0.2,0.08,0.0,0.0,,0.7520000000000001,-0.12903225806451676
15,oneToN,0.5882352941176471,0.0,0.5882352941176471,0.11764705882352941,0.29411764705882354,0.29411764705882354,0.11764705882352941,0.0,0.0,,0.6574394463667819,-0.20202020202020146
16,overNineThousand,0.8,0.8,0.0,0.16,0.04,0.84,0.96,0.8333333333333333,0.9523809523809523,0.8888888888888887,0.8127999999999999,-0.06837606837606731
17,raiseToPower,0.9272727272727272,0.9272727272727272,0.0,0.07272727272727272,0.0,0.9272727272727272,1.0,0.9272727272727272,1.0,0.9622641509433962,0.9272727272727272,0.0
18,singlePigLatin,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.29411764705882354,0.39999999999999997,0.25,0.3076923076923077,0.5121107266435986,-0.08510638297872333
